network,batch,optimizer,mse,acc,seconds,epochs,tpe
efnb4,16,RMSprop,0.7599294781684875,0.7462000250816345,6732,26,258.9230769230769
efnb4,16,Adam,1.9386687278747559,0.2897999882698059,2822,15,188.13333333333333
efnb4,32,RMSprop,0.8825041055679321,0.7032999992370605,2917,23,126.82608695652173
efnb4,32,Adam,1.3097196817398071,0.5547000169754028,2306,24,96.08333333333333
efnb4,64,RMSprop,1.0133278369903564,0.6884999871253967,1783,27,66.03703703703704
efnb4,64,Adam,0.8915848731994629,0.6965000033378601,1917,35,54.77142857142857
efnb3,16,RMSprop,0.8429655432701111,0.7269999980926514,5695,26,219.03846153846155
efnb3,16,Adam,1.8247822523117065,0.28209999203681946,2436,15,162.4
efnb3,32,RMSprop,0.8949156999588013,0.7113999724388123,3062,28,109.35714285714286
efnb3,32,Adam,1.2667155265808105,0.5550000071525574,1669,20,83.45
efnb3,64,RMSprop,1.0473461151123047,0.6661999821662903,1333,23,57.95652173913044
efnb3,64,Adam,0.8610209822654724,0.7055000066757202,1649,38,43.39473684210526