network,batch,optimizer,accuracy,mse
efnB4,16,RMSprop,nan,0.09619999676942825,nan
efnB4,16,Adam,6.602754592895508,0.1039000004529953,0.09283898025751114
efnB4,32,RMSprop,1.0669960975646973,0.6424000263214111,0.04816606268286705
efnB4,32,Adam,1.7520605325698853,0.4253999888896942,0.07220356911420822
efnB4,64,RMSprop,1.3682427406311035,0.5491999983787537,0.06090643256902695
efnB4,64,Adam,2.811782121658325,0.1273999959230423,0.09087307751178741
efnb3,16,RMSprop,1.166029453277588,0.5910999774932861,0.053338874131441116
efnb3,16,Adam,2.966398000717163,0.26969999074935913,0.08663090318441391
efnb3,32,RMSprop,1.346786379814148,0.5307999849319458,0.06105004996061325
efnb3,32,Adam,2.8109652996063232,0.16920000314712524,0.09094308316707611
efnb3,64,RMSprop,1.353853464126587,0.5181999802589417,0.062133826315402985
efnb3,64,Adam,2.7556889057159424,0.11429999768733978,0.0917934998869896